seasonyear,boxscoreid,visitor_name,visitor_id,visitor_pts,home_name,home_id,home_pts,mu_coach_player_all_t1,mu_coach_player_all_t2,mu_coach_player_suc_t1,mu_coach_player_suc_t2,mu_rel_all_t1,mu_rel_all_t2,mu_rel_suc_t1,mu_rel_suc_t2,mean_runs_t1_bin_5,mean_ops_t1_bin_5,mean_era_t1_bin_5,mean_runs_t2_bin_5,mean_ops_t2_bin_5,mean_era_t2_bin_5,mean_runs_t1_bin_3,mean_ops_t1_bin_3,mean_era_t1_bin_3,mean_runs_t2_bin_3,mean_ops_t2_bin_3,mean_era_t2_bin_3,mean_runs_t1_bin_1,mean_ops_t1_bin_1,mean_era_t1_bin_1,mean_runs_t2_bin_1,mean_ops_t2_bin_1,mean_era_t2_bin_1,winner_pts,loser_pts,mu_rel_suc_win,mu_rel_suc_loss,mu_coach_player_suc_win,mu_coach_player_suc_loss,mean_era_win_bin_1,mean_era_win_bin_3,mean_era_win_bin_5,mean_runs_win_bin_1,mean_runs_win_bin_3,mean_runs_win_bin_5,mean_ops_win_bin_1,mean_ops_win_bin_3,mean_ops_win_bin_5,mean_era_loss_bin_1,mean_era_loss_bin_3,mean_era_loss_bin_5,mean_runs_loss_bin_1,mean_runs_loss_bin_3,mean_runs_loss_bin_5,mean_ops_loss_bin_1,mean_ops_loss_bin_3,mean_ops_loss_bin_5,mean_era_wl_bin_1,mean_era_wl_bin_3,mean_era_wl_bin_5,mean_ops_wl_bin_1,mean_ops_wl_bin_3,mean_ops_wl_bin_5,mean_runs_wl_bin_1,mean_runs_wl_bin_3,mean_runs_wl_bin_5,mean_win_coach_player,mean_win_rel_suc
2012,ANA201204060,Kansas_City_Royals,KCR,0,Los_Angeles_Angels_of_Anaheim,LAA,5,105.25,128.076923077,42.4166666667,67,57.8787878788,67.5384615385,24.5151515152,28.1282051282,16.4090909091,.637584848485,4.08833333333,22.7909090909,.536571212121,3.057,15.35,.613433333333,3.86944444444,20.1666666667,.497537037037,2.35666666667,7.83333333333,.3205,2.77666666667,13.25,.30425,1.34,5,0,28.128204,24.515152,67,42.416668,1.34,2.3566666,3.0569999,13.25,20.166666,22.790909,.30425,.49753705,.5365712,2.7766666,3.8694444,4.0883331,7.8333335,15.35,16.40909,.32049999,.61343336,.63758487,-.49076638,-.44481432,-.37966189,-.021887476,-.010267329,-.0062044477,-.26997542,.16517431,.087081201,6.7478156,3.7658989
2012,ANA201204070,Kansas_City_Royals,KCR,6,Los_Angeles_Angels_of_Anaheim,LAA,3,92.07142857140001,121.4375,37.0714285714,60.5625,42.0989010989,57.8333333333,18.6153846154,19.0916666667,16.4846153846,.4839,4.07925,21.8884615385,.488664102564,4.63926666667,16.2083333333,.445555555556,4.42375,19.8939393939,.470727272727,3.58066666667,12.75,.309125,3.70333333333,13.375,.33925,3.2275,6,3,18.615385,19.091667,37.07143,60.5625,3.7033334,4.4237499,4.0792499,12.75,16.208334,16.484615,.30912501,.44555557,.48390001,3.2275,3.5806668,4.6392665,13.375,19.89394,21.888462,.33925,.47072726,.48866409,-.49076638,-.44481432,-.37966189,-.021887476,-.010267329,-.0062044477,-.26997542,.16517431,.087081201,6.7478156,3.7658989
2012,ANA201204080,Kansas_City_Royals,KCR,7,Los_Angeles_Angels_of_Anaheim,LAA,3,76.07142857140001,117.428571429,30.0714285714,62.0714285714,31.6153846154,61.8461538462,13.7362637363,26.1648351648,16.325,.503758333333,5.5499,18.8027777778,.433238888889,4.0835,16.0454545455,.464181818182,5.60866666667,14.8333333333,.424683333333,3.976,13,.381375,6.158,10.2,.357,4.5225,7,3,13.736263,26.164835,30.071428,62.07143,6.158,5.6086669,5.5499001,13,16.045454,16.325001,.38137501,.46418181,.50375831,4.5225,3.9760001,4.0834999,10.2,14.833333,18.802778,.35699999,.42468333,.43323889,-.49076638,-.44481432,-.37966189,-.021887476,-.010267329,-.0062044477,-.26997542,.16517431,.087081201,6.7478156,3.7658989
2012,ANA201204160,Oakland_Athletics,OAK,0,Los_Angeles_Angels_of_Anaheim,LAA,6,31.0833333333,122.642857143,15,64.7142857143,28.7575757576,67.2857142857,13.803030303,26.3736263736,23.8287878788,.690331818182,4.39333333333,22.8583333333,.462652777778,3.77120833333,26.5666666667,.660683333333,4.44,19.9666666667,.411766666667,4.06555555556,25.25,.670166666667,4.26,20.4,.3014,3.79333333333,6,0,26.373627,13.80303,64.714287,15,3.7933333,4.0655556,3.7712083,20.4,19.966667,22.858334,.30140001,.41176668,.46265277,4.2600002,4.4400001,4.3933334,25.25,26.566668,23.828789,.67016667,.66068333,.69033182,-.49076638,-.44481432,-.37966189,-.021887476,-.010267329,-.0062044477,-.26997542,.16517431,.087081201,6.7478156,3.7658989
2012,ANA201204170,Oakland_Athletics,OAK,5,Los_Angeles_Angels_of_Anaheim,LAA,3,25.1538461538,123.615384615,12.6153846154,64.6153846154,27.4743589744,53.7692307692,14.0384615385,20.7435897436,18.2291666667,.487604166667,5.05875,25.07,.560508333333,3.71716666667,20.2272727273,.445378787879,4.28354166667,22.6875,.548145833333,3.86722222222,19.6666666667,.356166666667,3.99,17,.484,4.48,5,3,14.038462,20.743589,12.615385,64.615387,3.99,4.2835417,5.0587502,19.666666,20.227272,18.229166,.35616666,.44537878,.48760417,4.48,3.8672223,3.7171667,17,22.6875,25.07,.484,.54814583,.56050831,-.49076638,-.44481432,-.37966189,-.021887476,-.010267329,-.0062044477,-.26997542,.16517431,.087081201,6.7478156,3.7658989
2012,ANA201204180,Oakland_Athletics,OAK,6,Los_Angeles_Angels_of_Anaheim,LAA,0,28.4545454545,133.266666667,13.6363636364,68.1333333333,24.0909090909,69.80952380950001,11.4181818182,24.1428571429,22.9018518519,.682183333333,4.56833333333,23.3736111111,.528263888889,3.80125,26.3958333333,.650416666667,4.255,21.4166666667,.544666666667,3.5925,24.25,.568166666667,4.32,15.2857142857,.435285714286,3.49,6,0,11.418181,24.142857,13.636364,68.133331,4.3200002,4.2550001,4.5683331,24.25,26.395834,22.901852,.56816667,.65041667,.68218333,3.49,3.5925,3.80125,15.285714,21.416666,23.373611,.43528572,.54466665,.52826387,-.49076638,-.44481432,-.37966189,-.021887476,-.010267329,-.0062044477,-.26997542,.16517431,.087081201,6.7478156,3.7658989
2012,ANA201204190,Oakland_Athletics,OAK,4,Los_Angeles_Angels_of_Anaheim,LAA,2,22.5,110.230769231,10.9375,57.3076923077,14.5333333333,60.4230769231,7.34166666667,23.6923076923,15.3773809524,.527689285714,5.20333333333,23.4568181818,.432863636364,4.13604166667,17.2051282051,.492487179487,4.68652777778,18.9166666667,.379777777778,3.95,16.1666666667,.475777777778,4.90666666667,20.6,.5014,4.69666666667,4,2,7.3416667,23.692308,10.9375,57.307693,4.9066668,4.6865277,5.2033334,16.166666,17.205128,15.377381,.47577778,.49248719,.52768928,4.6966667,3.95,4.1360416,20.6,18.916666,23.456818,.50139999,.37977779,.43286362,-.49076638,-.44481432,-.37966189,-.021887476,-.010267329,-.0062044477,-.26997542,.16517431,.087081201,6.7478156,3.7658989
2012,ANA201204200,Baltimore_Orioles,BAL,3,Los_Angeles_Angels_of_Anaheim,LAA,6,103.416666667,121.5,44.8333333333,64.1428571429,55.9393939394,58.021978022,23.6212121212,26.4505494505,22.7865800866,.536506709957,5.28655555556,20.6916666667,.470273611111,3.51683333333,19.3518518519,.478851851852,5.33527777778,19.8703703704,.427314814815,3.25791666667,14.5,.4595,6.06,12.75,.19625,2.605,6,3,26.45055,23.621212,64.14286,44.833332,2.605,3.2579167,3.5168333,12.75,19.870371,20.691668,.19625001,.42731482,.47027361,6.0599999,5.3352776,5.2865558,14.5,19.351852,22.786581,.45950001,.47885185,.53650671,-.49076638,-.44481432,-.37966189,-.021887476,-.010267329,-.0062044477,-.26997542,.16517431,.087081201,6.7478156,3.7658989
2012,ANA201204210,Baltimore_Orioles,BAL,3,Los_Angeles_Angels_of_Anaheim,LAA,6,90.3846153846,146.833333333,38.9230769231,75.25,41.4743589744,81.2121212121,18.1282051282,32.2121212121,20.7666666667,.578254166667,4.088,27.1444444444,.602564814815,3.91,19.6296296296,.519490740741,4.19625,24.1666666667,.571595238095,,9.9,.391,3.285,34,.502333333333,,6,3,32.21212,18.128204,75.25,38.923077,,,3.9100001,34,24.166666,27.144444,.50233334,.57159525,.60256481,3.2850001,4.19625,4.0879998,9.8999996,19.629629,20.766666,.391,.51949072,.57825416,-.49076638,-.44481432,-.37966189,-.021887476,-.010267329,-.0062044477,-.26997542,.16517431,.087081201,6.7478156,3.7658989
2012,ANA201204220,Baltimore_Orioles,BAL,3,Los_Angeles_Angels_of_Anaheim,LAA,2,78.07142857140001,143.75,35.3571428571,74.5625,34.1538461538,68.59166666669999,16.3626373626,28.925,24.6896103896,.593287012987,4.2155,20.6730769231,.486687179487,3.09058333333,21.462962963,.552740740741,3.77166666667,18.4090909091,.469287878788,3.27166666667,17.7,.5857,3.43166666667,9.33333333333,.3215,2.24666666667,3,2,16.362637,28.924999,35.357143,74.5625,3.4316666,3.7716668,4.2154999,17.700001,21.462963,24.68961,.58569998,.55274075,.59328699,2.2466667,3.2716668,3.0905833,9.333333,18.40909,20.673077,.3215,.46928787,.48668718,-.49076638,-.44481432,-.37966189,-.021887476,-.010267329,-.0062044477,-.26997542,.16517431,.087081201,6.7478156,3.7658989
